original_order,learning_order,greek,headword,translation,greeklex_rank,lemma_freq,word_freq,zipf_freq,pos,matched_word,match_type,duplicate_of
284,99,η τράπεζα,τράπεζα,банк,235,452.8,144.8,5.161,noun,τράπεζα,exact,
616,100,δείχνω,δείχνω,показывать,238,449.9,1.3,3.12,verb,δείχνω,exact,
715,101,παρουσιάζω,παρουσιάζω,"представлять, показывать",242,443.5,0.8,2.919,verb,παρουσιάζω,exact,
1,102,η ημέρα,ημέρα,день,243,440.2,139.5,5.144,noun,ημέρα,exact,
796,103,χάνω,χάνω,"терять, упускать",246,433.6,2.7,3.435,verb,χάνω,exact,
563,104,πώς,πώς,как,248,431.5,431.5,5.635,adv,πώς,exact,
31,105,η κατάσταση,κατάσταση,"ситуация, состояние",250,429.0,314.7,5.498,noun,κατάσταση,exact,
484,106,τρίτος,τρίτος,третий,252,427.2,25.2,4.402,quant,τρίτος,exact,
797,107,χρειάζομαι,χρειάζομαι,нуждаться,254,424.0,3.2,3.506,verb,χρειάζομαι,exact,
577,108,ακούω,ακούω,"слышать, слушать",260,419.7,19.2,4.284,verb,ακούω,exact,
289,109,ο τύπος,τύπος,тип,263,416.7,56.7,4.753,noun,τύπος,exact,
371,110,γνωστός,γνωστός,"знакомый, известный",265,415.6,34.1,4.533,adj,γνωστός,exact,
770,111,συνεχίζω,συνεχίζω,продолжать,267,413.5,3.2,3.506,verb,συνεχίζω,exact,
786,112,φέρνω,φέρνω,приносить,270,408.2,8.2,3.915,verb,φέρω,alias,
505,113,ψηλός,ψηλός,высокий,278,393.1,5.4,3.734,adj,ψηλός,exact,
174,114,η περίοδος,περίοδος,"период, время",279,391.9,41.2,4.615,noun,περίοδος,exact,
38,115,το κέντρο,κέντρο,центр,281,386.6,200.5,5.302,noun,κέντρο,exact,
703,116,οδηγώ,οδηγώ,"водить (машину), вести",282,385.2,0.9,2.961,verb,οδηγώ,exact,
92,117,η μέρα,μέρα,день,283,384.8,164.8,5.217,noun,μέρα,exact,
553,118,περίπου,περίπου,"примерно, около",285,384.0,384.0,5.584,adv,περίπου,exact,
184,119,η πληροφορία,πληροφορία,информация,286,383.4,33.8,4.529,noun,πληροφορία,exact,
599,120,αφήνω,αφήνω,"оставляю, позволяю",287,382.7,4.6,3.664,verb,αφήνω,exact,
256,121,το σχέδιο,σχέδιο,"план, проект",288,381.7,179.5,5.254,noun,σχέδιο,exact,
750,122,σημειώνω,σημειώνω,отмечать,290,379.6,3.7,3.57,verb,σημειώνω,exact,
250,123,ο συνάδελφος,συνάδελφος,коллега,293,377.3,28.4,4.453,noun,συνάδελφος,exact,
297,124,η υπόθεση,υπόθεση,"дело, случай, вопрос",294,377.0,217.7,5.338,noun,υπόθεση,exact,
385,125,δυνατός,δυνατός,"сильный, громкий",296,374.3,11.0,4.042,adj,δυνατός,exact,
276,126,το τμήμα,τμήμα,"отдел, факультет",300,368.8,194.5,5.289,noun,τμήμα,exact,
212,127,ο ρόλος,ρόλος,роль,303,368.0,56.6,4.753,noun,ρόλος,exact,
685,128,μένω,μένω,"жить, оставаться",304,367.9,4.6,3.664,verb,μένω,exact,
792,129,φτάνω,φτάνω,"приходить, прибывать",307,364.3,1.0,3.009,verb,φτάνω,exact,
762,130,συζητώ,συζητώ,"обсуждать, разговаривать",308,361.4,0.7,2.859,verb,συζητάω,verb_alt,
614,131,γράφω,γράφω,писать,311,357.7,10.6,4.026,verb,γράφω,exact,
397,132,επόμενος,επόμενος,следующий,312,350.7,8.2,3.915,adj,επόμενος,exact,
576,133,ακολουθώ,ακολουθώ,следовать,313,350.2,1.3,3.12,verb,ακολουθώ,exact,
591,134,αποφασίζω,αποφασίζω,решать,314,350.2,1.1,3.052,verb,αποφασίζω,exact,
529,135,ίσως,ίσως,"возможно, может быть",317,348.2,348.2,5.542,adv,ίσως,exact,
355,136,αρκετός,αρκετός,достаточный,318,347.8,3.9,3.592,adj,αρκετός,exact,
19,137,η ιστορία,ιστορία,история,320,343.3,246.3,5.391,noun,ιστορία,exact,
534,138,κάτω,κάτω,"вниз, внизу",324,338.7,328.7,5.516,adv,κάτω,exact,
379,139,διαφορετικός,διαφορετικός,"разный, различный",325,338.6,6.5,3.815,adj,διαφορετικός,exact,
204,140,το πρόσωπο,πρόσωπο,лицо,326,338.4,131.1,5.117,noun,πρόσωπο,exact,
109,141,ο μουσικός,μουσικός,музыкант,328,337.4,8.0,3.904,noun,μουσικός,exact,
601,142,βάζω,βάζω,"класть, ставить",330,332.9,6.0,3.779,verb,βάζω,exact,
736,143,προσθέτω,προσθέτω,"добавлять, прибавлять",333,328.2,1.4,3.154,verb,προσθέτω,exact,
260,144,η ταινία,ταινία,фильм,334,327.4,173.4,5.239,noun,ταινία,exact,
691,145,μπαίνω,μπαίνω,входить,335,324.8,3.8,3.583,verb,μπαίνω,exact,
739,146,προσπαθώ,προσπαθώ,"пытаться, стараться",338,323.8,11.8,4.073,verb,προσπαθώ,exact,
192,147,η πόλη,πόλη,город,341,322.8,137.4,5.138,noun,πόλη,exact,
456,148,παλιός,παλιός,старый,342,322.8,9.8,3.992,adj,παλιός,exact,
200,149,το προϊόν,προϊόν,"продукт, товар",343,322.7,60.2,4.779,noun,προϊόν,exact,
78,150,η λύση,λύση,решение,349,317.8,206.3,5.314,noun,λύση,exact,
440,151,μερικός,μερικός,"некоторый, несколько",353,316.7,0.6,2.79,adj,μερικός,exact,
249,152,η συμφωνία,συμφωνία,"согласие, договор",354,316.5,172.6,5.237,noun,συμφωνία,exact,
742,153,προχωρώ,προχωρώ,"идти вперёд, продвигаться",356,315.5,1.6,3.208,verb,προχωρώ,exact,
380,154,διάφορος,διάφορος,"разный, различный",361,311.9,0.1,2.106,adj,διάφορος,exact,
578,155,αλλάζω,αλλάζω,"меняю, изменяю",364,310.6,1.4,3.154,verb,αλλάζω,exact,
550,156,πάντα,πάντα,всегда,365,310.3,310.3,5.491,adv,πάντα,exact,
678,157,λειτουργώ,λειτουργώ,"работаю, функционирую",366,309.8,0.9,2.961,verb,λειτουργώ,exact,
696,158,νομίζω,νομίζω,"думать, считать",368,308.3,224.0,5.35,verb,νομίζω,exact,
354,159,αργός,αργός,медленный,371,307.6,2.9,3.464,adj,αργός,exact,
234,160,το σπίτι,σπίτι,дом,375,303.1,206.9,5.315,noun,σπίτι,exact,
635,161,εκφράζω,εκφράζω,выражать,378,301.0,3.8,3.583,verb,εκφράζω,exact,
558,162,ποτέ,ποτέ,никогда,384,298.0,297.7,5.473,adv,ποτέ,exact,
150,163,το παιχνίδι,παιχνίδι,"игра, игрушка",386,297.7,193.7,5.287,noun,παιχνίδι,exact,
617,164,δέχομαι,δέχομαι,"принимать, соглашаться",393,293.6,10.3,4.013,verb,δέχομαι,exact,
468,165,προηγούμενος,προηγούμενος,предыдущий,395,291.1,3.7,3.57,adj,προηγούμενος,exact,
171,166,το περιβάλλον,περιβάλλον,"окружающая среда, среда",405,280.8,139.5,5.144,noun,περιβάλλον,exact,
292,167,η υγεία,υγεία,здоровье,406,280.5,67.0,4.826,noun,υγεία,exact,
449,168,ξένος,ξένος,"чужой, иностранный",412,277.7,12.1,4.083,adj,ξένος,exact,
717,169,περιμένω,περιμένω,ждать,415,275.5,14.1,4.15,verb,περιμένω,exact,
253,170,η συνέχεια,συνέχεια,"продолжение, постоянно",419,273.9,266.9,5.426,noun,συνέχεια,exact,
353,171,απλός,απλός,простой,423,272.3,16.3,4.212,adj,απλός,exact,
659,172,καλώ,καλώ,"звать, приглашать",425,271.8,5.4,3.734,verb,καλώ,exact,
322,173,το χέρι,χέρι,рука,427,271.4,105.2,5.022,noun,χέρι,exact,
419,174,κακός,κακός,"плохой, злой",429,270.3,9.1,3.96,adj,κακός,exact,
386,175,δύσκολος,δύσκολος,трудный,432,270.0,7.8,3.893,adj,δύσκολος,exact,
650,176,ζω,ζω,жить,434,269.0,8.3,3.92,noun,ζω,exact,
673,177,κρατάω,κρατάω,"держать, хранить",435,268.2,2.2,3.344,verb,κρατώ,verb_alt,
108,178,η μουσική,μουσική,музыка,440,264.9,156.5,5.194,noun,μουσική,exact,
262,179,η τάξη,τάξη,"класс, порядок",441,263.8,74.1,4.87,noun,τάξη,exact,
