original_order,learning_order,greek,headword,translation,greeklex_rank,lemma_freq,word_freq,zipf_freq,pos,matched_word,match_type,duplicate_of
411,761,θυμωμένος,θυμωμένος,"сердитый, злой",,,,,,,,
418,762,καινούργιος,καινούργιος,новый,,,,,,,,
457,763,παντρεμένος,παντρεμένος,"женатый, замужняя",,,,,,,,
463,764,περισσότερος,περισσότερος,больше,,,,,,,,
476,765,συστημένος,συστημένος,"заказной, рекомендуемый",,,,,,,,
488,766,φασαριόζος,φασαριόζος,шумный,,,,,,,,
492,767,φοβισμένος,φοβισμένος,"испуганный, напуганный",,,,,,,,
497,768,χαλασμένος,χαλασμένος,испорченный,,,,,,,,
498,769,χαλκιδικός,χαλκιδικός,медный,,,,,,,,
501,770,χίλια,χίλια,тысяча,,,,,,,,
502,771,χοντρός,χοντρός,толстый,,,,,,,,
510,772,αργά,αργά,"поздно, медленно",,,,,,,,
511,773,αρκετά,αρκετά,"довольно, достаточно",,,,,,,,
514,774,γρήγορα,γρήγορα,быстро,,,,,,,,
518,775,δύσκολα,δύσκολα,трудно,,,,,,,,
527,776,εύκολα,εύκολα,легко,,,,,,,,
562,777,πρώτα,πρώτα,сначала,,,,,,,,
568,778,τέλος πάντων,τέλος πάντων,в конце концов,,,,,,,,
586,779,αποβιβάζομαι,αποβιβάζομαι,выходить (из транспорта),,,,,,,,
587,780,απογειώνομαι,απογειώνομαι,взлетать,,,,,,,,
593,781,αρνούμαι,αρνούμαι,"отказываться, отрицать",,,,,,,,
602,782,βάζω στόχο,βάζω στόχο,ставить цель,,,,,,,,
603,783,βάζω τραπέζι,βάζω τραπέζι,накрывать на стол,,,,,,,,
609,784,βρίσκομαι,βρίσκομαι,находиться,,,,,,,,
611,785,γεννιέμαι,γεννιέμαι,рождаться,,,,,,,,
626,786,δίνω δώρο,δίνω δώρο,дарить подарок,,,,,,,,
627,787,δίνω εξετάσεις,δίνω εξετάσεις,сдавать экзамены,,,,,,,,
628,788,δίνω σημασία,δίνω σημασία,"обращать внимание, придавать значение",,,,,,,,
629,789,δίνω συμβουλή,δίνω συμβουλή,давать совет,,,,,,,,
632,790,έβρεξε,έβρεξε,шел дождь,,,,,,,,
634,791,εκπλήσσομαι,εκπλήσσομαι,"удивляться, поражаться",,,,,,,,
640,792,επιβιβάζομαι,επιβιβάζομαι,садиться (в транспорт),,,,,,,,
660,793,κάνει ζέστη,κάνει ζέστη,жарко (о погоде),,,,,,,,
671,794,κόστισε,κόστισε,стоил,,,,,,,,
675,795,λέγομαι,λέγομαι,"называться, зваться",,,,,,,,
676,796,λεγόμουν,λεγόμουν,меня звали,,,,,,,,
680,797,λούζομαι,λούζομαι,"мыться, купаться",,,,,,,,
689,798,μοιράζομαι,μοιράζομαι,"делиться, разделять",,,,,,,,
710,799,παραδίδω,παραδίδω,"сдавать, передавать",,,,,,,,
727,800,πόνεσα,πόνεσα,у меня болело,,,,,,,,
734,801,προσγειώνομαι,προσγειώνομαι,приземляться,,,,,,,,
745,802,ρίχνω μια ματιά,ρίχνω μια ματιά,"бросить взгляд, взглянуть",,,,,,,,
748,803,σηκώνομαι,σηκώνομαι,"вставать, подниматься",,,,,,,,
767,804,συναντιέμαι,συναντιέμαι,встречаться,,,,,,,,
798,805,χρησιμοποιούμαι,χρησιμοποιούμαι,использоваться,,,,,,,,
